Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Wolves_21_22,Leicester City_21_22,Aston Villa_21_22,Southampton_21_22,Crystal Palace_21_22,Brighton_21_22,Newcastle Utd_21_22,Brentford_21_22,Everton_21_22,Leeds United_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Liverpool_17_18,18.681541692269406,17.0,15.394804318340652,21.236760581595302,23.043437243605826,23.15167380558045,22.67156809750927,40.570925550201586,33.301651610693426,32.64965543462902,38.79432948254165,35.888716889852724,45.83666654546336,44.955533585978046,47.89572005931219,50.37856687124,58.957611891934704,56.64803615307419,58.0689245638319,68.8839603971781
Tottenham_17_18,21.37755832643195,23.173260452512935,7.54983443527075,11.445523142259598,15.84297951775486,18.0,16.431676725154983,27.748873851023216,30.870698080866262,27.018512172212592,32.93933818400121,29.597297173897484,36.235341863986875,39.91240408695021,41.88078318274385,45.32107677449864,56.568542494923804,48.7134478352744,53.59104402789705,64.10148204214939
Chelsea_17_18,25.079872407968907,26.888659319497503,11.0,8.54400374531753,12.68857754044952,15.165750888103101,13.416407864998739,24.24871130596428,28.089143810376278,23.790754506740637,29.546573405388315,26.267851073127396,32.51153641401772,36.565010597564445,38.41874542459709,41.95235392680606,53.49766350038102,45.088801270381985,50.25932749251625,60.67124524847005
Arsenal_17_18,36.138621999185304,35.86084215408221,25.13961017995307,13.92838827718412,8.602325267042627,6.4031242374328485,6.4031242374328485,28.089143810376278,13.856406460551018,13.45362404707371,19.28730152198591,17.0,28.178005607210743,25.25866188063018,28.30194339616981,30.675723300355934,39.91240408695021,37.656340767525464,38.43175770115127,49.23413450036468
Burnley_17_18,56.471231613982,58.881236400062114,41.773197148410844,28.442925306655784,26.551836094703507,28.24889378365107,27.202941017470888,8.717797887081348,30.4138126514911,23.62202362203543,22.293496809607955,21.77154105707724,10.63014581273465,25.787593916455254,23.748684174075834,28.0,42.02380277890139,21.93171219946131,34.49637662132068,41.48493702538308
Leicester City_17_18,49.01020301937138,49.29503017546495,36.08323710533743,20.97617696340303,14.0,12.449899597988733,12.36931687685298,22.737634001804146,6.782329983125268,2.23606797749979,5.477225575051661,4.358898943540674,15.937377450509228,11.74734012447073,14.035668847618199,16.881943016134134,28.61817604250837,23.452078799117146,25.03996805109783,35.91656999213594
Everton_17_18,57.982756057296896,58.60034129593445,45.09988913511872,28.284271247461902,22.0,20.46948949045872,21.470910553583888,25.942243542145693,11.40175425099138,12.206555615733702,5.0990195135927845,11.445523142259598,14.352700094407323,3.1622776601683795,7.54983443527075,9.433981132056603,20.46948949045872,17.832554500127006,17.291616465790582,26.645825188948457
Watford_17_18,55.10898293381942,55.163393659201205,42.67317658670374,27.073972741361768,20.12461179749811,18.05547008526779,18.76166303929372,27.85677655436824,6.4031242374328485,9.055385138137417,5.385164807134504,9.055385138137417,17.69180601295413,6.4031242374328485,10.198039027185569,11.489125293076057,21.6794833886788,21.18962010041709,19.131126469708992,29.88310559496787
Bournemouth_17_18,56.73623181001713,57.3149195236284,43.37049688440288,27.367864366808018,21.0,19.849433241279208,20.049937655763422,23.366642891095847,11.874342087037917,9.797958971132712,3.605551275463989,7.874007874011811,11.445523142259598,5.196152422706632,6.164414002968976,9.695359714832659,23.194827009486403,15.84297951775486,18.05547008526779,28.372521918222215
Brighton_17_18,59.74110812497538,61.0163912403872,45.48626166217664,29.816103031751148,24.839484696748443,24.859605789312106,24.49489742783178,18.547236990991408,20.615528128088304,15.937377450509228,11.532562594670797,13.19090595827292,3.605551275463989,12.529964086141668,9.797958971132712,14.0,28.319604517012593,11.180339887498949,20.83266665599966,29.206163733020468
West Ham_17_18,60.28266749240614,60.332412515993425,47.81213235152768,31.906112267087632,25.099800796022265,23.08679276123039,23.895606290697042,30.773365106858236,11.045361017187261,13.892443989449804,8.602325267042627,13.0,18.601075237738275,3.7416573867739413,7.681145747868608,7.14142842854285,16.76305461424021,18.708286933869708,14.177446878757825,24.779023386727733
Huddersfield_17_18,65.34523701081817,66.2117814289874,52.01922721455981,35.014282800023196,29.223278392404914,28.089143810376278,28.89636655359978,28.337254630609507,19.339079605813716,19.313207915827967,12.24744871391589,17.46424919657298,14.352700094407323,7.0710678118654755,6.557438524302,7.14142842854285,17.916472867168917,12.409673645990857,12.68857754044952,20.049937655763422
Newcastle Utd_17_18,60.67124524847005,61.71709649683789,46.486557196677836,31.0322412983658,25.67099530598687,25.45584412271571,25.019992006393608,20.54263858417414,20.024984394500787,15.684387141358123,11.180339887498949,12.649110640673518,5.744562646538029,11.357816691600547,7.874007874011811,12.083045973594572,26.758176320519304,9.643650760992955,18.867962264113206,27.80287754891569
Southampton_17_18,61.75759062657804,62.433965115151864,47.8748368143433,32.46536616149585,26.49528259898354,25.787593916455254,25.475478405713993,24.1039415863879,18.2208671582886,15.132745950421556,10.198039027185569,12.041594578792296,9.695359714832659,8.602325267042627,4.123105625617661,8.306623862918075,23.345235059857504,9.273618495495704,15.394804318340652,25.37715508089904
Crystal Palace_17_18,65.09992319503918,65.98484674529449,51.22499389946279,35.12833614050059,29.427877939124322,28.722813232690143,28.792360097775937,25.787593916455254,20.97617696340303,18.788294228055936,12.806248474865697,16.0312195418814,10.862780491200215,9.486832980505138,5.385164807134504,8.06225774829855,21.748563170931547,7.3484692283495345,13.74772708486752,22.090722034374522
Swansea City_17_18,67.09694478886502,68.30812543175226,52.952809179494906,36.851051545376556,31.71750305430741,31.38470965295043,31.38470965295043,25.079872407968907,24.899799195977465,22.02271554554524,16.24807680927192,19.209372712298546,10.488088481701515,13.638181696985855,9.848857801796104,12.206555615733702,24.677925358506133,6.164414002968976,16.401219466856727,22.715633383201094
