Team,Manchester Utd_21_22,Chelsea_21_22,Liverpool_21_22,Brentford_21_22,Everton_21_22,West Ham_21_22,Brighton_21_22,Leicester City_21_22,Tottenham_21_22,Watford_21_22,Aston Villa_21_22,Burnley_21_22,Manchester City_21_22,Wolves_21_22,Arsenal_21_22,Newcastle Utd_21_22,Southampton_21_22,Crystal Palace_21_22,Norwich City_21_22,Leeds United_21_22
Manchester City_18_19,3.1622776601683795,1.0,1.0,0.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0,2.23606797749979,4.242640687119285,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.123105625617661,5.0,4.358898943540674,4.69041575982343,4.69041575982343,5.916079783099616
Watford_18_19,3.1622776601683795,1.0,1.0,0.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0,2.23606797749979,4.242640687119285,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.123105625617661,5.0,4.358898943540674,4.69041575982343,4.69041575982343,5.916079783099616
Manchester Utd_18_19,3.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,3.3166247903554,3.605551275463989,3.605551275463989,3.7416573867739413,4.242640687119285,3.7416573867739413,4.123105625617661,4.123105625617661,5.0990195135927845
Tottenham_18_19,3.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,3.3166247903554,3.605551275463989,3.605551275463989,3.7416573867739413,4.242640687119285,3.7416573867739413,4.123105625617661,4.123105625617661,5.0990195135927845
Burnley_18_19,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Everton_18_19,3.7416573867739413,3.0,3.0,2.8284271247461903,2.449489742783178,2.8284271247461903,2.23606797749979,3.0,3.0,2.23606797749979,1.4142135623730951,1.4142135623730951,2.449489742783178,2.449489742783178,2.23606797749979,2.23606797749979,1.7320508075688772,2.449489742783178,2.449489742783178,3.3166247903554
Southampton_18_19,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Wolves_18_19,3.7416573867739413,3.0,3.0,2.8284271247461903,2.449489742783178,2.8284271247461903,2.23606797749979,3.0,3.0,2.23606797749979,1.4142135623730951,1.4142135623730951,2.449489742783178,2.449489742783178,2.23606797749979,2.23606797749979,1.7320508075688772,2.449489742783178,2.449489742783178,3.3166247903554
Leicester City_18_19,5.0990195135927845,4.123105625617661,4.123105625617661,3.7416573867739413,3.7416573867739413,4.242640687119285,3.3166247903554,3.605551275463989,3.605551275463989,3.605551275463989,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,3.0
Newcastle Utd_18_19,5.0990195135927845,4.123105625617661,4.123105625617661,3.7416573867739413,3.7416573867739413,4.242640687119285,3.3166247903554,3.605551275463989,3.605551275463989,3.605551275463989,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,3.0
