Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,West Ham_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Southampton_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Watford_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Sunderland_16_17,57.113921245174545,51.07837115648854,44.553338819890925,31.843366656181317,28.89636655359978,25.96150997149434,26.92582403567252,30.62678566222711,22.891046284519195,15.7797338380595,17.832554500127006,16.186414056238647,12.449899597988733,11.357816691600547,8.06225774829855,6.708203932499369,3.0,3.1622776601683795,11.445523142259598,11.357816691600547
Swansea City_16_17,60.332412515993425,53.71219600798314,48.54894437575342,34.9857113690718,33.421549934136806,30.822070014844883,30.083217912982647,38.28837943815329,30.430248109405877,20.85665361461421,18.49324200890693,21.307275752662516,18.466185312619388,17.916472867168917,11.445523142259598,11.874342087037917,9.0,6.324555320336759,20.904544960366874,13.74772708486752
Manchester City_17_18,10.04987562112089,16.3707055437449,22.978250586152114,34.539832078341085,38.49675310984031,42.930175867331364,39.698866482558415,49.040799340956916,50.20956084253277,50.774009099144415,50.46781152378217,50.46781152378217,54.42425929675111,55.731499172371095,59.34644049983116,59.76621118993574,64.52906321960671,67.05967491719595,65.19202405202648,76.19711280619497
Chelsea_17_18,16.15549442140351,16.492422502470642,6.6332495807108,15.264337522473747,15.427248620541512,19.261360284258224,19.28730152198591,22.912878474779202,24.677925358506133,28.39013913315678,31.796226191169293,28.478061731796284,31.591137997862628,32.71085446759225,37.815340802378074,38.05259518088089,42.80186911806539,45.44227107000705,40.8656334834051,53.16013544000805
Manchester Utd_17_18,13.784048752090222,12.206555615733702,2.23606797749979,13.638181696985855,15.652475842498529,20.248456731316587,18.466185312619388,26.0,26.49528259898354,28.372521918222215,30.56141357987225,28.178005607210743,31.827660925679098,33.03028912982749,37.69615364994153,37.8549864614954,42.62628297189423,45.32107677449864,41.773197148410844,53.76802023508026
Liverpool_17_18,17.029386365926403,10.04987562112089,8.774964387392123,10.295630140987,15.84297951775486,20.83266665599966,15.524174696260024,30.886890422961002,28.705400188814647,26.248809496813376,25.41653005427767,25.729360660537214,29.9833287011299,31.32091952673165,34.539832078341085,34.77067730142742,39.45883931389772,42.02380277890139,41.41255848169731,51.66236541235796
Tottenham_17_18,19.026297590440446,15.0,6.4031242374328485,7.874007874011811,10.246950765959598,15.297058540778355,12.68857754044952,23.15167380558045,22.045407685048602,22.561028345356956,24.61706725018234,22.315913604421397,26.095976701399778,27.331300737432898,31.827660925679098,31.953090617340916,36.72873534441391,39.42080668885405,36.51027252705737,48.11444689487763
Arsenal_17_18,24.879710609249457,20.049937655763422,13.19090595827292,1.7320508075688772,5.477225575051661,10.246950765959598,5.830951894845301,21.840329667841555,18.788294228055936,16.73320053068151,18.138357147217054,16.881943016134134,20.346989949375804,21.6794833886788,25.45584412271571,25.96150997149434,30.822070014844883,33.27160951922825,32.03123475609393,42.07136793592526
Burnley_17_18,40.024992192379,38.61346915261564,28.478061731796284,23.452078799117146,17.11724276862369,14.2828568570857,21.42428528562855,1.4142135623730951,8.12403840463596,19.72308292331602,28.35489375751565,20.97617696340303,20.12461179749811,20.322401432901575,26.627053911388696,26.739483914241877,30.24896692450835,32.341923257592455,23.345235059857504,35.90264614203248
Leicester City_17_18,39.0,33.1058907144937,26.60826939130014,13.74772708486752,11.575836902790225,10.723805294763608,9.16515138991168,21.18962010041709,13.601470508735444,3.1622776601683795,7.681145747868608,3.3166247903554,6.782329983125268,8.12403840463596,11.74734012447073,11.661903789690601,16.492422502470642,19.1049731745428,19.339079605813716,28.39013913315678
