Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Everton_21_22,Brentford_21_22,Wolves_21_22,Leicester City_21_22,Arsenal_21_22,Aston Villa_21_22,Crystal Palace_21_22,Southampton_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Swansea City_16_17,20.808652046684813,21.748563170931547,19.4164878389476,14.866068747318506,11.445523142259598,13.74772708486752,13.19090595827292,12.68857754044952,11.489125293076057,10.63014581273465,8.660254037844387,7.681145747868608,7.810249675906654,4.898979485566356,6.164414002968976,3.1622776601683795,2.23606797749979,3.7416573867739413,4.58257569495584,6.4031242374328485
Sunderland_16_17,23.08679276123039,24.351591323771842,21.656407827707714,16.522711641858304,13.674794331177344,16.401219466856727,15.811388300841896,15.132745950421556,13.416407864998739,12.36931687685298,11.445523142259598,9.539392014169456,10.44030650891055,7.483314773547883,7.0710678118654755,5.0990195135927845,4.123105625617661,2.449489742783178,5.744562646538029,4.123105625617661
Manchester City_17_18,13.379088160259652,8.306623862918075,13.96424004376894,22.15851980616034,22.64950330581225,16.401219466856727,17.204650534085253,18.57417562100671,21.6794833886788,23.600847442411894,21.840329667841555,25.865034312755125,22.293496809607955,25.25866188063018,28.106938645110393,28.809720581775867,29.34280150224242,31.906112267087632,30.773365106858236,35.679125549822544
Manchester Utd_17_18,5.196152422706632,4.58257569495584,5.916079783099616,14.247806848775006,16.401219466856727,11.180339887498949,11.661903789690601,12.206555615733702,14.491376746189438,16.401219466856727,17.0,19.4164878389476,16.76305461424021,19.6468827043885,21.400934559032695,23.108440016582687,23.68543856465402,25.80697580112788,26.43860813280457,29.68164415931166
Tottenham_17_18,3.0,7.14142842854285,2.23606797749979,7.280109889280518,9.433981132056603,5.916079783099616,5.830951894845301,5.385164807134504,7.3484692283495345,9.1104335791443,11.0,12.206555615733702,10.344080432788601,13.038404810405298,14.352700094407323,16.24807680927192,16.881943016134134,18.973665961010276,20.42057785666214,22.693611435820433
Watford_17_18,11.180339887498949,11.789826122551595,10.63014581273465,9.433981132056603,4.123105625617661,4.358898943540674,3.7416573867739413,4.123105625617661,7.3484692283495345,7.681145747868608,4.123105625617661,7.280109889280518,5.196152422706632,7.615773105863909,11.045361017187261,10.198039027185569,11.0,14.422205101855956,13.74772708486752,17.291616465790582
Chelsea_17_18,8.366600265340756,10.488088481701515,7.0710678118654755,6.164414002968976,6.0,3.7416573867739413,3.0,1.4142135623730951,3.3166247903554,5.0990195135927845,6.324555320336759,7.483314773547883,5.0990195135927845,7.681145747868608,9.433981132056603,11.0,11.575836902790225,13.74772708486752,15.165750888103101,17.4928556845359
Arsenal_17_18,10.04987562112089,11.874342087037917,9.0,6.708203932499369,4.123105625617661,4.123105625617661,3.1622776601683795,1.7320508075688772,3.7416573867739413,4.58257569495584,4.58257569495584,5.744562646538029,3.605551275463989,6.164414002968976,8.48528137423857,9.273618495495704,9.9498743710662,12.569805089976535,13.601470508735444,16.0312195418814
Burnley_17_18,10.44030650891055,14.866068747318506,9.433981132056603,2.23606797749979,6.4031242374328485,9.0,8.12403840463596,5.916079783099616,2.449489742783178,2.23606797749979,9.643650760992955,6.4031242374328485,7.810249675906654,8.831760866327848,7.483314773547883,10.862780491200215,11.445523142259598,12.569805089976535,16.522711641858304,16.0312195418814
Liverpool_17_18,11.224972160321824,11.916375287812984,10.295630140987,8.831760866327848,4.47213595499958,3.7416573867739413,3.0,3.1622776601683795,5.916079783099616,6.48074069840786,2.8284271247461903,6.324555320336759,3.1622776601683795,5.916079783099616,9.433981132056603,9.0,9.695359714832659,12.84523257866513,12.569805089976535,16.06237840420901
