Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Brighton_21_22,Manchester City_21_22,Everton_21_22,Tottenham_21_22,West Ham_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Leicester City_21_22,Arsenal_21_22,Crystal Palace_21_22,Southampton_21_22,Wolves_21_22,Leeds United_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Crystal Palace_17_18,19.026297590440446,19.026297590440446,18.81488772222678,14.45683229480096,16.431676725154983,14.177446878757825,9.695359714832659,13.638181696985855,11.180339887498949,10.677078252031311,8.48528137423857,7.810249675906654,6.4031242374328485,7.0710678118654755,6.0,4.69041575982343,7.0710678118654755,8.06225774829855,3.3166247903554,6.324555320336759
Chelsea_18_19,4.123105625617661,4.123105625617661,2.23606797749979,7.615773105863909,6.557438524302,7.0710678118654755,12.68857754044952,8.18535277187245,11.575836902790225,10.44030650891055,12.68857754044952,13.341664064126334,15.811388300841896,14.035668847618199,15.0,17.0,17.0,17.72004514666935,18.49324200890693,21.656407827707714
Liverpool_18_19,2.449489742783178,2.449489742783178,3.4641016151377544,5.385164807134504,5.0990195135927845,7.14142842854285,10.770329614269007,8.602325267042627,9.219544457292887,9.899494936611665,11.916375287812984,12.36931687685298,14.52583904633395,13.114877048604,13.638181696985855,15.297058540778355,16.73320053068151,17.74823934929885,17.578395831246947,21.213203435596427
Manchester City_18_19,2.8284271247461903,2.8284271247461903,1.4142135623730951,7.14142842854285,4.69041575982343,6.4031242374328485,12.083045973594572,7.0710678118654755,10.344080432788601,9.38083151964686,11.74734012447073,12.449899597988733,15.132745950421556,13.038404810405298,13.784048752090222,15.748015748023622,16.186414056238647,16.881943016134134,17.349351572897472,20.83266665599966
Watford_18_19,4.58257569495584,4.58257569495584,3.3166247903554,3.1622776601683795,4.58257569495584,2.8284271247461903,7.681145747868608,4.58257569495584,7.0710678118654755,5.744562646538029,7.810249675906654,8.366600265340756,10.770329614269007,9.1104335791443,10.04987562112089,12.041594578792296,12.449899597988733,13.416407864998739,13.638181696985855,17.0
Bournemouth_18_19,7.0,7.0,5.196152422706632,4.69041575982343,6.082762530298219,0.0,7.14142842854285,2.23606797749979,7.3484692283495345,3.605551275463989,5.744562646538029,6.48074069840786,9.16515138991168,7.14142842854285,8.54400374531753,10.816653826391969,9.9498743710662,10.770329614269007,11.575836902790225,14.594519519326424
Tottenham_18_19,6.708203932499369,6.708203932499369,5.385164807134504,4.69041575982343,5.196152422706632,1.4142135623730951,7.0,1.7320508075688772,6.48074069840786,3.0,5.385164807134504,6.164414002968976,9.055385138137417,6.708203932499369,7.810249675906654,10.04987562112089,9.848857801796104,10.677078252031311,11.045361017187261,14.45683229480096
Arsenal_18_19,9.16515138991168,9.16515138991168,7.0710678118654755,6.557438524302,8.12403840463596,2.23606797749979,7.615773105863909,2.449489742783178,8.660254037844387,3.4641016151377544,5.0990195135927845,5.916079783099616,8.54400374531753,6.48074069840786,8.366600265340756,10.770329614269007,8.366600265340756,9.0,10.63014581273465,13.038404810405298
Manchester Utd_18_19,9.0,9.0,7.54983443527075,5.0990195135927845,7.681145747868608,2.449489742783178,5.385164807134504,3.3166247903554,6.782329983125268,2.23606797749979,3.605551275463989,4.242640687119285,6.782329983125268,5.0,6.708203932499369,9.0,7.810249675906654,8.831760866327848,9.486832980505138,12.36931687685298
Wolves_18_19,9.486832980505138,9.486832980505138,9.486832980505138,4.58257569495584,7.483314773547883,5.744562646538029,2.449489742783178,6.324555320336759,3.0,3.7416573867739413,3.7416573867739413,3.605551275463989,5.385164807134504,4.242640687119285,4.242640687119285,5.830951894845301,8.602325267042627,10.04987562112089,8.306623862918075,12.409673645990857
Everton_18_19,11.357816691600547,11.357816691600547,9.9498743710662,7.874007874011811,9.433981132056603,4.898979485566356,6.557438524302,4.123105625617661,7.874007874011811,2.23606797749979,2.23606797749979,3.1622776601683795,6.0,3.3166247903554,5.385164807134504,7.810249675906654,5.196152422706632,6.0,7.0710678118654755,9.848857801796104
Leicester City_18_19,11.357816691600547,11.357816691600547,9.9498743710662,7.874007874011811,9.433981132056603,4.898979485566356,6.557438524302,4.123105625617661,7.874007874011811,2.23606797749979,2.23606797749979,3.1622776601683795,6.0,3.3166247903554,5.385164807134504,7.810249675906654,5.196152422706632,6.0,7.0710678118654755,9.848857801796104
Crystal Palace_18_19,11.74734012447073,11.74734012447073,11.575836902790225,7.0,9.486832980505138,7.280109889280518,3.1622776601683795,7.3484692283495345,4.58257569495584,4.242640687119285,2.8284271247461903,2.23606797749979,3.605551275463989,2.449489742783178,2.0,3.7416573867739413,6.782329983125268,8.306623862918075,5.916079783099616,10.198039027185569
Southampton_18_19,11.180339887498949,11.180339887498949,10.816653826391969,7.3484692283495345,8.660254037844387,6.48074069840786,5.0,5.916079783099616,5.0990195135927845,3.0,2.23606797749979,2.449489742783178,5.0990195135927845,2.23606797749979,2.23606797749979,4.58257569495584,6.4031242374328485,7.615773105863909,5.830951894845301,10.246950765959598
Brighton_18_19,12.36931687685298,12.36931687685298,11.180339887498949,8.602325267042627,10.246950765959598,6.164414002968976,6.4031242374328485,5.385164807134504,7.874007874011811,3.0,1.7320508075688772,2.449489742783178,5.0990195135927845,2.23606797749979,4.358898943540674,6.708203932499369,4.123105625617661,5.0990195135927845,5.656854249492381,8.660254037844387
Fulham_18_19,15.066519173319364,15.066519173319364,13.45362404707371,11.313708498984761,13.152946437965905,8.366600265340756,8.774964387392123,7.54983443527075,10.954451150103322,5.916079783099616,4.58257569495584,4.898979485566356,6.164414002968976,4.58257569495584,6.708203932499369,8.660254037844387,2.23606797749979,2.449489742783178,5.830951894845301,6.708203932499369
