Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,West Ham_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Wolves_21_22,Southampton_21_22,Watford_21_22,Arsenal_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Swansea City_17_18,10.04987562112089,10.04987562112089,11.0,10.04987562112089,11.045361017187261,6.164414002968976,5.477225575051661,8.94427190999916,3.0,3.3166247903554,3.1622776601683795,3.605551275463989,2.23606797749979,2.449489742783178,2.449489742783178,4.242640687119285,6.6332495807108,4.358898943540674,8.18535277187245,7.280109889280518
Everton_17_18,10.488088481701515,10.488088481701515,11.224972160321824,10.198039027185569,11.445523142259598,6.557438524302,5.916079783099616,9.0,2.8284271247461903,4.242640687119285,3.3166247903554,3.1622776601683795,3.1622776601683795,2.23606797749979,1.7320508075688772,3.3166247903554,5.744562646538029,3.7416573867739413,7.3484692283495345,6.48074069840786
Leicester City_17_18,10.344080432788601,10.344080432788601,9.9498743710662,9.0,10.488088481701515,7.874007874011811,8.366600265340756,7.0710678118654755,4.123105625617661,7.0,3.7416573867739413,1.7320508075688772,6.4031242374328485,2.8284271247461903,3.1622776601683795,5.0990195135927845,3.7416573867739413,3.605551275463989,4.58257569495584,6.557438524302
West Ham_17_18,12.449899597988733,12.449899597988733,12.12435565298214,11.0,12.884098726725126,9.273618495495704,9.273618495495704,9.273618495495704,5.0,8.306623862918075,5.477225575051661,3.3166247903554,7.280109889280518,4.0,3.1622776601683795,3.1622776601683795,1.4142135623730951,3.0,3.0,4.358898943540674
Bournemouth_17_18,14.594519519326424,14.594519519326424,15.0,14.035668847618199,15.165750888103101,11.045361017187261,10.488088481701515,12.409673645990857,7.0,8.06225774829855,7.0710678118654755,5.744562646538029,5.916079783099616,4.69041575982343,3.7416573867739413,3.1622776601683795,4.69041575982343,2.23606797749979,5.744562646538029,3.0
Crystal Palace_17_18,14.730919862656235,14.730919862656235,15.394804318340652,14.45683229480096,15.427248620541512,11.045361017187261,10.295630140987,12.96148139681572,7.280109889280518,7.681145747868608,7.3484692283495345,6.4031242374328485,5.385164807134504,5.0990195135927845,4.242640687119285,3.7416573867739413,6.0,3.3166247903554,7.14142842854285,4.123105625617661
Liverpool_18_19,2.0,2.0,3.4641016151377544,3.7416573867739413,3.605551275463989,5.385164807134504,7.0,5.744562646538029,9.273618495495704,9.273618495495704,9.0,10.770329614269007,11.575836902790225,11.445523142259598,12.36931687685298,14.45683229480096,15.0,14.352700094407323,16.06237840420901,17.549928774784245
Chelsea_18_19,3.0,3.0,2.23606797749979,2.23606797749979,3.7416573867739413,5.830951894845301,7.615773105863909,4.47213595499958,9.0,9.9498743710662,8.831760866327848,10.246950765959598,12.041594578792296,11.224972160321824,12.083045973594572,14.071247279470288,14.142135623730951,13.96424004376894,15.066519173319364,17.0
Watford_18_19,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.449489742783178,4.123105625617661,5.0,6.708203932499369,4.58257569495584,8.366600265340756,9.273618495495704,8.306623862918075,9.797958971132712,11.40175425099138,10.723805294763608,11.532562594670797,13.45362404707371,13.74772708486752,13.490737563232042,14.7648230602334,16.492422502470642
Manchester City_18_19,2.8284271247461903,2.8284271247461903,0.0,1.4142135623730951,2.23606797749979,6.082762530298219,8.06225774829855,3.0,8.602325267042627,9.486832980505138,8.06225774829855,9.38083151964686,11.40175425099138,10.344080432788601,11.357816691600547,13.601470508735444,13.30413469565007,13.038404810405298,14.071247279470288,16.24807680927192
Tottenham_18_19,3.1622776601683795,3.1622776601683795,2.449489742783178,1.4142135623730951,3.605551275463989,4.123105625617661,6.082762530298219,1.7320508075688772,6.164414002968976,7.483314773547883,5.744562646538029,7.0710678118654755,9.273618495495704,8.06225774829855,9.0,11.180339887498949,11.090536506409418,10.770329614269007,12.0,13.92838827718412
Bournemouth_18_19,5.830951894845301,5.830951894845301,6.164414002968976,5.0990195135927845,6.708203932499369,3.0,4.123105625617661,4.123105625617661,2.449489742783178,4.69041575982343,2.23606797749979,3.7416573867739413,6.0,4.58257569495584,5.385164807134504,7.54983443527075,8.06225774829855,7.3484692283495345,9.273618495495704,10.488088481701515
